Issuer,ISIN,currency,Moody__Rating,country,annc_date,amt,yield_issue,coupon,ROA,at,moody_21,leverage,investment_grade,sic_str,industry_sector,ROA_impute,at_impute,leverage_impute,ROA_missing,at_missing,leverage_missing,issue_dt1,mat_dt1,issue_year,duration,amt_log,at_log,greenid,country_AS,country_AU,country_AZ,country_BA,country_BE,country_BH,country_BL,country_BR,country_BS,country_BU,country_BV,country_CA,country_CB,country_CC,country_CE,country_CH,country_CI,country_CO,country_CY,country_DN,country_EA,country_EC,country_FN,country_FR,country_GA,country_GE,country_GG,country_GR,country_HK,country_HU,country_IC,country_ID,country_IM,country_IN,country_IR,country_IS,country_IT,country_JE,country_JO,country_JP,country_KU,country_KZ,country_LE,country_LI,country_LS,country_LV,country_LX,country_LY,country_MA,country_MI,country_MO,country_MT,country_MV,country_MX,country_NI,country_NO,country_NT,country_NZ,country_OM,country_PA,country_PE,country_PH,country_PL,country_PO,country_PR,country_QA,country_RU,country_SA,country_SD,country_SG,country_SK,country_SL,country_SP,country_SV,country_SW,country_SZ,country_TG,country_TH,country_TK,country_TW,country_UA,country_UE,country_UK,country_UR,country_US,country_VT,country_WG,industry_sector_Educational Services,"industry_sector_Engineering, Management, Research","industry_sector_Finance, Insurance, Real Estate",industry_sector_Investment & Holding Companies,industry_sector_Legal Services,industry_sector_Manufacturing,industry_sector_Other,industry_sector_Public Administration,industry_sector_Real Estate,industry_sector_Retail Trade,industry_sector_Services,industry_sector_Transportation & Utilities,industry_sector_Wholesale Trade,propensity_score
Housing & Urban Dvlp Corp Ltd,INE031A08731,RE,NR,IN,2019-07-16,182.113,7.34,7.34,2.19,788936.7,,78.02481016206252,0,6153.0,"Finance, Insurance, Real Estate",2.19,788936.7,78.02481016206252,0,0,0,2019-07-18,2022-09-16,2019,3.1671232876712327,5.204627373531977,13.57844136847268,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0035376296762801517
Tata Power Co Ltd,INE245A08091,RE,NR,IN,2017-11-13,45.852,7.99,7.99,0.87,1125499.9,,,0,4911.0,Transportation & Utilities,0.87,1125499.9,46.736893510289406,0,0,1,2017-11-16,2020-11-16,2017,3.0027397260273974,3.8254188182527633,13.93373785047952,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.012639898511890978
Argosy Property Ltd,NZARGDT001C6,NZ,NR,NZ,2019-03-06,67.67,4.0,4.0,8.13,2291.5,,36.12527964205817,0,6798.0,Investment & Holding Companies,8.13,2291.5,36.12527964205817,0,0,0,2019-03-27,2026-03-27,2019,7.005479452054795,4.2146429502441345,7.736961903949179,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.25246552405875067
Argosy Property Ltd,NZARGDT002C4,NZ,NR,NZ,2019-10-18,63.83,2.9,2.9,6.22,2291.5,,40.29313673863437,0,6798.0,Investment & Holding Companies,6.22,2291.5,40.29313673863437,0,0,0,2019-10-29,2026-10-29,2019,7.005479452054795,4.156223299267966,7.736961903949179,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.33453557724667626
Argosy Property Ltd,NZARGDT003C2,NZ,NR,NZ,2020-10-16,82.55,2.2,2.2,8.82,2291.5,,48.39411611106275,0,6798.0,Investment & Holding Companies,8.82,2291.5,48.39411611106275,0,0,0,2020-10-27,2027-10-27,2020,7.002739726027397,4.413404170366137,7.736961903949179,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.3252862494736056
Contact Energy Ltd,NZCEND0040L1,NZ,NR,NZ,2017-02-17,71.8,4.63,4.63,2.73,5166.0,,27.809930698725747,0,4911.0,Transportation & Utilities,2.73,5166.0,27.809930698725747,0,0,0,2017-02-23,2022-11-15,2017,5.728767123287671,4.273884476054178,8.549853973655786,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.12209685848117027
Contact Energy Ltd,NZCEND0050L0,NZ,NR,NZ,2019-02-22,68.43,1.45,1.45,,5166.0,,,0,4911.0,Transportation & Utilities,2.94,5166.0,46.736893510289406,1,0,1,2019-03-01,2024-08-15,2019,5.463013698630137,4.225811324964407,8.549853973655786,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.2243777340398334
Contact Energy Ltd,NZCEND0060L9,NZ,NR,NZ,2021-11-12,158.558,4.33,4.33,,5166.0,,,0,4911.0,Transportation & Utilities,2.94,5166.0,46.736893510289406,1,0,1,2021-11-19,2051-11-19,2021,30.019178082191782,5.066120456980431,8.549853973655786,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0780074812898943
Contact Energy Ltd,NZCEND0520L2,NZ,NR,AU,2013-05-22,40.315,5.277,5.277,3.14,5166.0,,21.6174247067958,0,4911.0,Transportation & Utilities,3.14,5166.0,21.6174247067958,0,0,0,2013-05-27,2020-05-27,2013,7.005479452054795,3.696723608136985,8.549853973655786,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.017960417850777666
Genesis Energy Ltd,NZGNEDG001C1,NZ,NR,NZ,2016-03-14,66.66,4.14,4.14,5.49,5241.9,,27.205728403333197,0,4911.0,Transportation & Utilities,5.49,5241.9,27.205728403333197,0,0,0,2016-03-18,2022-03-18,2016,6.002739726027397,4.199605072879594,8.564439307013103,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.11915315034535341
